date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-06-13,삼성,8초,장원삼,A,4 로하스,B,2-3,로하스/12995 : 삼진 아웃,"1사 1,2루 0:4"
2017-06-14,삼성,1초,우규민,A,4 로하스,B,1-1,중견수 안타,"1사 1,3루 0:0"
2017-06-14,삼성,4초,우규민,A,4 로하스,B,1-1,중견수 뜬공,무사  1:5
2017-06-14,삼성,5초,우규민,A,4 로하스,B,2-3,볼넷,"1사 1,2루 3:5"
2017-06-14,삼성,6초,장원삼,A,4 로하스,B,1-2,몸에 맞는 볼,"2사 1,3루 7:5"
2017-06-14,삼성,9초,김동호,A,4 로하스,B,2-1,로하스/12995 : 삼진 아웃,1사  7:5
2017-06-15,삼성,2초,김대우,A,4 로하스,B,1-1,2루수 땅볼,무사  0:2
2017-06-15,삼성,5초,김대우,A,4 로하스,B,1-0,우익수 2루타,무사  0:4
2017-06-15,삼성,6초,심창민,A,4 로하스,B,2-2,좌익수 안타,2사 2루 1:4
2017-06-15,삼성,8초,최충연,A,4 로하스,B,2-1,2루수 땅볼,2사 2루 2:6
2017-06-16,한화,1말,배영수,A,4 로하스,B,2-3,로하스/12995 : 삼진 아웃,2사 1루 4:0
2017-06-16,한화,3말,배영수,A,4 로하스,B,1-0,좌익수 뜬공,"무사 1,2루 6:2"
2017-06-16,한화,5말,배영수,A,4 로하스,B,2-3,볼넷,무사  7:4
2017-06-16,한화,5말,송창식,A,4 로하스,B,2-0,중견수 뜬공,2사 2루 7:10
2017-06-16,한화,7말,박정진,A,4 로하스,B,2-1,로하스/12995 : 삼진 아웃,1사 1루 15:12
2017-06-16,한화,9말,정우람,A,4 로하스,B,2-0,로하스/12995 : 삼진 아웃,2사 1루 15:14
2017-06-17,한화,1말,비야누에바,A,3 로하스,B,1-2,2루수 땅볼,2사  0:0
2017-06-17,한화,4말,비야누에바,A,3 로하스,B,2-0,1루수 땅볼,무사  3:1
2017-06-17,한화,7말,비야누에바,A,3 로하스,B,2-2,중견수 2루타,무사  8:1
2017-06-17,한화,9말,이동걸,A,3 로하스,B,2-1,좌익수 뜬공,1사 1루 9:1
2017-06-18,한화,2말,이태양,A,4 로하스,B,1-0,2루수 뜬공,무사  0:0
2017-06-18,한화,3말,이태양,A,4 로하스,B,2-0,2루수 뜬공,2사 1루 7:3
2017-06-18,한화,6말,장민재,A,4 로하스,B,2-0,로하스/12995 : 삼진 아웃,무사  10:3
2017-06-18,한화,7말,박정진,A,4 로하스,B,0-0,1루수 뜬공,2사 2루 10:3
2017-06-20,롯데,1말,박세웅,A,4 로하스,B,2-2,로하스/12995 : 삼진 아웃,2사 1루 0:0
2017-06-20,롯데,4말,박세웅,A,4 로하스,B,0-0,1루수 땅볼,1사  5:0
2017-06-20,롯데,6말,박세웅,A,4 로하스,B,2-2,2루수 땅볼,1사  7:1
2017-06-20,롯데,8말,강동호,A,4 로하스,B,0-1,중견수 뜬공,2사  10:1
2017-06-21,롯데,1말,송승준,A,1 로하스,B,2-2,2루수 땅볼 실책[실책포함],무사  0:0
2017-06-21,롯데,4말,송승준,A,1 로하스,B,2-2,2루수 땅볼,무사  3:0
2017-06-21,롯데,5말,송승준,A,1 로하스,B,2-2,2루수 땅볼,2사 2루 6:2
2017-06-21,롯데,8말,김유영,A,1 로하스,B,0-0,좌익수 안타,1사  7:2
2017-06-22,롯데,1말,노경은,A,1 로하스,B,2-2,3루수 파울 뜬공,무사  2:0
2017-06-22,롯데,2말,애디튼,A,1 로하스,B,1-3,볼넷,무사  2:5
2017-06-22,롯데,3말,애디튼,A,1 로하스,B,0-0,중견수 희생플라이,"1사 2,3루 2:6"
2017-06-22,롯데,6말,애디튼,A,1 로하스,B,0-0,3루수 땅볼,무사  3:7
2017-06-22,롯데,8말,박진형,A,1 로하스,B,1-1,중견수 안타,1사  3:8
2017-06-23,SK,1초,다이아몬드,A,1 로하스,B,2-1,좌익수 뜬공,무사  0:0
2017-06-23,SK,3초,다이아몬드,A,1 로하스,B,2-1,2루수 뜬공,1사  0:0
2017-06-23,SK,5초,다이아몬드,A,1 로하스,B,1-2,우익수 뜬공,무사 1루 1:0
2017-06-23,SK,7초,다이아몬드,A,1 로하스,B,0-3,볼넷,"1사 1,3루 1:4"
2017-06-23,SK,9초,김주한,A,1 로하스,B,2-0,중견수 뜬공,2사 2루 2:4
2017-06-24,SK,1초,윤희상,A,1 로하스,B,1-0,중견수 뜬공,무사  0:0
2017-06-24,SK,4초,윤희상,A,1 로하스,B,1-1,2루수 땅볼,무사  0:1
2017-06-24,SK,6초,윤희상,A,1 로하스,B,2-1,2루수 땅볼,무사  1:1
2017-06-24,SK,9초,김주한,A,1 로하스,B,2-2,유격수 내야안타,무사  1:2
2017-06-25,SK,1초,김태훈,A,3 로하스,B,0-1,우익수 2루타,1사 1루 0:0
2017-06-25,SK,2초,김태훈,A,3 로하스,B,1-0,우익수 파울 뜬공,1사 만루 4:0
2017-06-25,SK,4초,전유수,A,3 로하스,B,2-3,좌익수 안타,2사  4:4
2017-06-25,SK,6초,채병용,A,3 로하스,B,1-1,중견수 뜬공,2사 1루 5:6
2017-06-25,SK,9초,문광은,A,3 로하스,B,2-2,로하스/12995 : 삼진 아웃,1사  6:6
2017-06-27,한화,1초,김재영,A,3 로하스,B,1-0,투수 내야안타,"무사 1,3루 0:0"
2017-06-27,한화,3초,김재영,A,3 로하스,B,2-0,2루수 땅볼,1사 1루 1:1
2017-06-27,한화,6초,이충호,A,3 로하스,B,1-1,우익수 안타,2사  1:4
2017-06-27,한화,8초,권혁,A,3 로하스,B,2-3,몸에 맞는 볼,2사 2루 1:4
2017-06-28,한화,1초,배영수,A,3 로하스,B,0-0,우익수 홈런,2사  0:0
2017-06-28,한화,3초,배영수,A,3 로하스,B,0-0,1루수 땅볼,"1사 1,3루 1:2"
2017-06-28,한화,5초,배영수,A,3 로하스,B,2-2,로하스/12995 : 삼진 아웃,무사  4:2
2017-06-28,한화,7초,장민재,A,3 로하스,B,1-3,볼넷,2사 1루 4:2
2017-06-28,한화,10초,권혁,A,3 로하스,B,2-1,로하스/12995 : 삼진 아웃,무사  4:4
2017-06-29,한화,1초,김범수,A,3 로하스,B,2-1,중견수 안타,1사 1루 0:0
2017-06-29,한화,4초,김범수,A,3 로하스,B,1-1,중견수 뜬공,무사  0:0
2017-06-29,한화,6초,김범수,A,3 로하스,B,2-3,우익수 안타,1사 2루 1:1
2017-06-29,한화,8초,이동걸,A,3 로하스,B,2-0,로하스/12995 : 유격수 직선타 아웃,무사  5:7
2017-06-30,넥센,1말,금민철,A,3 로하스,B,0-0,좌익수 안타,1사 1루 0:0
2017-06-30,넥센,3말,금민철,A,3 로하스,B,2-1,로하스/12995 : 삼진 아웃,"2사 1,2루 4:0"
2017-06-30,넥센,5말,금민철,A,3 로하스,B,1-1,1루수 야수선택,"무사 1,3루 7:2"
2017-06-30,넥센,7말,윤영삼,A,3 로하스,B,1-2,우익수 안타,2사  8:3
2017-06-30,넥센,9말,김상수,A,3 로하스,B,2-3,우익수 2루타,"1사 1,2루 9:3"
2017-07-02,넥센,1말,김성민,A,3 로하스,B,2-3,로하스/12995 : 삼진 아웃,2사  0:0
2017-07-02,넥센,4말,김성민,A,3 로하스,B,2-0,로하스/12995 : 삼진 아웃,무사  5:1
2017-07-04,두산,1초,보우덴,A,3 로하스,B,2-1,2루수 땅볼,2사  0:0
2017-07-04,두산,4초,보우덴,A,3 로하스,B,1-3,3루수 뜬공,무사  1:3
2017-07-04,두산,6초,김승회,A,3 로하스,B,2-3,유격수 뜬공,2사  1:7
2017-07-04,두산,9초,김강률,A,3 로하스,B,2-2,중견수 안타,무사  1:8
2017-07-05,두산,1초,장원준,A,3 로하스,B,0-1,우익수 뜬공,2사  0:0
2017-07-05,두산,4초,장원준,A,3 로하스,B,1-0,투수 병살타,1사 1루 0:0
2017-07-05,두산,6초,장원준,A,3 로하스,B,2-2,2루수 땅볼,"2사 1,3루 0:1"
2017-07-05,두산,9초,이용찬,A,3 로하스,B,2-1,로하스/12995 : 삼진 아웃,무사 1루 0:3
2017-07-08,KIA,1말,양현종,A,3 로하스,B,2-3,로하스/12995 : 삼진 아웃,2사  0:0
2017-07-08,KIA,4말,양현종,A,3 로하스,B,2-0,로하스/12995 : 삼진 아웃,무사  16:0
2017-07-08,KIA,5말,양현종,A,3 로하스,B,0-0,중견수 안타,2사 1루 16:3
2017-07-08,KIA,7말,김광수,A,3 로하스,B,2-2,유격수 뜬공,"무사 1,3루 17:4"
2017-07-08,KIA,9말,박진태,A,3 로하스,B,1-1,좌익수 파울 뜬공,1사  20:8
2017-07-11,삼성,1말,페트릭,A,2 로하스,B,2-3,좌익수 뜬공,무사 1루 1:0
2017-07-11,삼성,3말,페트릭,A,2 로하스,B,2-1,우익수 안타,1사  1:0
2017-07-11,삼성,5말,페트릭,A,2 로하스,B,0-2,좌익수 2루타,1사  2:1
2017-07-11,삼성,6말,장원삼,A,2 로하스,B,2-2,우익수 뜬공,2사 만루 2:2
