date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-03-31,롯데,2말,레일리,A,6 권희동,B,2-2,2루수 내야안타,무사  0:0
2017-03-31,롯데,4말,레일리,A,6 권희동,B,2-3,볼넷,1사 3루 1:0
2017-03-31,롯데,6말,레일리,A,6 권희동,B,2-2,우익수 2루타,1사 1루 1:0
2017-03-31,롯데,7말,배장호,A,6 권희동,B,1-0,중견수 뜬공,1사 1루 1:5
2017-04-01,롯데,2말,김원중,A,6 권희동,B,2-3,2루수 내야안타,2사  1:0
2017-04-01,롯데,4말,김원중,A,6 권희동,B,2-3,투수 내야안타,2사 1루 3:0
2017-04-01,롯데,6말,박시영,A,6 권희동,B,2-3,볼넷,2사  3:0
2017-04-01,롯데,8말,손승락,A,6 권희동,B,1-2,중견수 뜬공,"1사 1,2루 3:0"
2017-04-02,롯데,2말,박진형,A,6 권희동,B,2-0,권희동/11172 : 삼진 아웃,무사 1루 2:0
2017-04-02,롯데,4말,박진형,A,6 권희동,B,2-2,몸에 맞는 볼,2사 2루 5:0
2017-04-02,롯데,6말,배장호,A,6 권희동,B,0-0,우익수 안타,1사 1루 6:2
2017-04-02,롯데,8말,송승준,A,6 권희동,B,2-3,권희동/11172 : 삼진 아웃,2사  11:4
2017-04-04,한화,2초,배영수,A,5 권희동,B,1-2,권희동/11172 : 유격수 직선타 아웃,무사 1루 0:0
2017-04-04,한화,4초,배영수,A,5 권희동,B,0-0,3루수 땅볼,1사  0:5
2017-04-04,한화,6초,배영수,A,5 권희동,B,1-2,중견수 안타,2사  0:6
2017-04-04,한화,9초,송창식,A,5 권희동,B,2-1,2루수 땅볼,무사  0:6
2017-04-06,한화,2초,오간도,A,6 권희동,B,2-3,3루수 내야안타,1사  0:0
2017-04-06,한화,3초,오간도,A,6 권희동,B,0-0,좌익수 안타,1사 만루 1:1
2017-04-06,한화,5초,오간도,A,6 권희동,B,1-1,유격수 땅볼,2사  4:1
2017-04-06,한화,7초,심수창,A,6 권희동,B,2-3,유격수 병살타,"1사 1,2루 5:2"
2017-04-07,SK,2초,김주한,A,6 권희동,B,2-3,볼넷,1사  0:0
2017-04-07,SK,3초,김주한,A,6 권희동,B,2-3,볼넷,"2사 1,2루 1:0"
2017-04-07,SK,5초,김성민,A,6 권희동,B,2-2,유격수 땅볼,2사  3:1
2017-04-07,SK,7초,채병용,A,6 권희동,B,0-0,좌익수 안타,"2사 1,2루 4:3"
2017-04-08,SK,2초,윤희상,A,6 권희동,B,2-3,볼넷,2사  0:1
2017-04-08,SK,4초,윤희상,A,6 권희동,B,2-3,볼넷,"1사 1,2루 1:4"
2017-04-08,SK,7초,박정배,A,6 권희동,B,0-0,2루수 뜬공,무사  2:5
2017-04-08,SK,9초,문광은,A,6 권희동,B,2-3,3루수 땅볼,무사  2:9
2017-04-09,SK,1초,문승원,A,5 권희동,B,2-2,좌익수 안타,무사 만루 1:0
2017-04-09,SK,2초,문승원,A,5 권희동,B,0-3,고의4구,"2사 2,3루 4:4"
2017-04-09,SK,4초,문승원,A,5 권희동,B,0-0,중견수 뜬공,"2사 1,3루 4:6"
2017-04-09,SK,6초,채병용,A,5 권희동,B,0-0,좌익수 2루타,"2사 1,2루 4:8"
2017-04-09,SK,9초,서진용,A,5 권희동,B,2-0,권희동/11172 : 삼진 아웃,무사  5:8
2017-04-11,LG,2말,차우찬,A,5 권희동,B,1-1,좌익수 뜬공,1사  1:0
2017-04-11,LG,4말,차우찬,A,5 권희동,B,2-1,좌익수 희생플라이,1사 3루 1:0
2017-04-11,LG,6말,차우찬,A,5 권희동,B,1-2,중견수 희생플라이,1사 3루 3:3
2017-04-11,LG,8말,김지용,A,5 권희동,B,2-2,3루수 땅볼,1사 1루 3:4
2017-04-12,LG,1말,소사,A,5 권희동,B,2-2,2루수 내야안타,2사 1루 0:1
2017-04-12,LG,4말,소사,A,5 권희동,B,2-1,권희동/11172 : 삼진 아웃,무사 1루 0:1
2017-04-12,LG,6말,소사,A,5 권희동,B,1-0,좌익수 안타,1사 1루 0:1
2017-04-12,LG,8말,신정락,A,5 권희동,B,2-1,3루수 땅볼 실책[실책포함],1사  0:2
2017-04-13,LG,2말,윤지웅,A,5 권희동,B,1-0,2루수 뜬공,1사  0:0
2017-04-13,LG,4말,윤지웅,A,5 권희동,B,1-0,우익수 뜬공,무사  1:3
2017-04-13,LG,6말,김대현,A,5 권희동,B,1-1,1루수 땅볼,2사  1:3
2017-04-13,LG,8말,정찬헌,A,5 권희동,B,0-0,우익수 뜬공,2사 만루 1:3
2017-04-14,두산,2말,유희관,A,5 권희동,B,1-3,볼넷,무사  1:1
2017-04-14,두산,4말,유희관,A,5 권희동,B,2-2,권희동/11172 : 삼진 아웃,무사  5:1
2017-04-14,두산,5말,유희관,A,5 권희동,B,2-2,권희동/11172 : 삼진 아웃,2사 2루 6:3
2017-04-14,두산,8말,유희관,A,5 권희동,B,0-1,3루수 뜬공,2사  9:3
2017-04-15,두산,2말,김명신,A,5 권희동,B,2-0,삼진,무사  4:0
2017-04-15,두산,4말,김명신,A,5 권희동,B,2-2,권희동/11172 : 삼진 아웃,무사  8:1
2017-04-15,두산,6말,김성배,A,5 권희동,B,1-2,우익수 안타,"무사 1,2루 8:1"
2017-04-15,두산,8말,김승회,A,5 권희동,B,1-2,우익수 3루타,2사  8:2
2017-04-16,두산,1말,장원준,A,5 권희동,B,2-3,유격수 뜬공,2사 2루 0:1
2017-04-16,두산,3말,장원준,A,5 권희동,B,0-0,2루수 병살타,무사 1루 0:3
2017-04-16,두산,6말,장원준,A,5 권희동,B,0-0,유격수 뜬공,무사  0:3
2017-04-16,두산,7말,김강률,A,5 권희동,B,2-1,권희동/11172 : 삼진 아웃,"2사 1,2루 0:4"
2017-04-18,롯데,1초,레일리,A,5 권희동,B,2-2,권희동/11172 : 삼진 아웃,"2사 1,2루 0:0"
2017-04-18,롯데,3초,레일리,A,5 권희동,B,2-3,권희동/11172 : 삼진 아웃,1사  2:3
2017-04-18,롯데,5초,레일리,A,5 권희동,B,0-0,좌익수 홈런,2사  2:3
2017-04-18,롯데,7초,박시영,A,5 권희동,B,1-0,좌익수 홈런,"1사 1,2루 4:3"
2017-04-18,롯데,9초,이정민,A,5 권희동,B,2-1,1루수 땅볼,무사  8:3
2017-04-19,롯데,2초,김원중,A,5 권희동,B,2-2,중견수 안타,무사  0:1
2017-04-19,롯데,3초,김원중,A,5 권희동,B,2-2,권희동/11172 : 삼진 아웃,무사 만루 1:1
2017-04-19,롯데,4초,김원중,A,5 권희동,B,2-3,권희동/11172 : 삼진 아웃,"2사 1,3루 5:1"
2017-04-19,롯데,7초,송승준,A,5 권희동,B,2-2,유격수 땅볼,무사  6:1
2017-04-19,롯데,8초,김유영,A,5 권희동,B,2-3,좌익수 안타,1사  8:2
2017-04-20,롯데,2초,박진형,A,5 권희동,B,2-2,권희동/11172 : 삼진 아웃,무사 1루 0:0
2017-04-20,롯데,4초,박진형,A,5 권희동,B,2-3,권희동/11172 : 삼진 아웃,2사  1:0
2017-04-20,롯데,6초,박진형,A,5 권희동,B,2-2,좌익수 안타,2사 1루 2:0
2017-04-20,롯데,8초,장시환,A,5 권희동,B,2-2,권희동/11172 : 삼진 아웃,1사  5:4
2017-04-21,삼성,2초,최충연,A,5 권희동,B,2-2,권희동/11172 : 삼진 아웃,무사  0:2
2017-04-21,삼성,4초,최충연,A,5 권희동,B,2-1,권희동/11172 : 삼진 아웃,2사  0:2
2017-04-21,삼성,6초,권오준,A,5 권희동,B,1-1,권희동/11172 : 유격수 직선타 아웃,1사  4:4
2017-04-21,삼성,9초,장필준,A,5 권희동,B,1-2,우익수 안타,무사  4:4
2017-04-22,삼성,2초,장원삼,A,5 권희동,B,1-3,볼넷,1사  0:0
2017-04-22,삼성,3초,장원삼,A,5 권희동,B,1-3,볼넷,2사  3:2
2017-04-22,삼성,4초,김대우,A,5 권희동,B,0-3,볼넷,"1사 1,2루 7:5"
2017-04-22,삼성,6초,이수민,A,5 권희동,B,1-0,좌익수 2루타,"무사 1,3루 8:6"
2017-04-22,삼성,7초,김시현,A,5 권희동,B,0-1,중견수 뜬공,무사 2루 13:6
2017-04-22,삼성,9초,김승현,A,5 권희동,B,2-2,좌익수 뜬공,"1사 1,2루 14:6"
2017-04-23,삼성,2초,페트릭,A,5 권희동,B,2-3,권희동/11172 : 3루수 직선타 아웃,무사  0:0
2017-04-23,삼성,3초,페트릭,A,5 권희동,B,2-3,볼넷,"2사 2,3루 1:0"
2017-04-23,삼성,6초,페트릭,A,5 권희동,B,1-0,2루수 땅볼,무사  2:2
2017-04-23,삼성,8초,장필준,A,5 권희동,B,2-3,권희동/11172 : 삼진 아웃,1사  3:3
2017-04-25,kt,2말,로치,A,5 권희동,B,1-2,좌익수 안타,1사  0:0
2017-04-25,kt,4말,로치,A,5 권희동,B,2-3,권희동/11172 : 삼진 아웃,1사 2루 0:1
2017-04-25,kt,6말,로치,A,5 권희동,B,2-2,권희동/11172 : 삼진 아웃,2사  1:2
2017-04-26,kt,2말,정대현,A,5 권희동,B,1-2,유격수 땅볼 실책[실책포함],무사  1:1
2017-04-26,kt,3말,정대현,A,5 권희동,B,2-2,1루수 뜬공,1사  1:5
2017-04-26,kt,5말,정대현,A,5 권희동,B,2-2,3루수 땅볼,2사 2루 1:6
2017-04-26,kt,7말,배제성,A,5 권희동,B,0-1,좌익수 홈런,"2사 1,2루 1:7"
2017-04-27,kt,1말,피어밴드,A,5 권희동,B,0-0,3루수 땅볼,2사 2루 0:1
2017-04-27,kt,3말,피어밴드,A,5 권희동,B,1-2,좌익수 뜬공,2사  0:2
2017-04-27,kt,6말,피어밴드,A,5 권희동,B,0-0,유격수 땅볼,1사  0:3
2017-04-27,kt,8말,이상화,A,5 권희동,B,2-2,2루수 뜬공,2사 1루 0:3
2017-04-28,KIA,1초,양현종,A,5 권희동,B,2-3,유격수 내야안타,2사 2루 1:0
2017-04-28,KIA,4초,양현종,A,5 권희동,B,1-0,중견수 뜬공,무사  1:4
2017-04-28,KIA,6초,양현종,A,5 권희동,B,0-1,2루수 땅볼,2사  2:8
2017-04-28,KIA,8초,심동섭,A,5 권희동,B,2-1,권희동/11172 : 삼진 아웃,2사  3:8
2017-04-29,KIA,1초,김진우,A,5 권희동,B,2-3,2루수 뜬공,무사 만루 1:0
2017-04-29,KIA,4초,김진우,A,5 권희동,B,2-3,볼넷,1사  1:0
2017-04-30,KIA,7초,심동섭,A,1 권희동,B,1-1,포수 파울 뜬공,2사 1루 4:1
2017-05-02,LG,2초,류제국,A,6 권희동,B,0-1,좌익수 안타,2사  0:0
2017-05-02,LG,5초,류제국,A,6 권희동,B,1-2,유격수 뜬공,1사  0:1
2017-05-02,LG,7초,류제국,A,6 권희동,B,2-3,권희동/11172 : 삼진 아웃,1사 1루 2:1
2017-05-03,LG,2초,임찬규,A,6 권희동,B,2-2,유격수 땅볼,"무사 1,2루 0:2"
2017-05-03,LG,5초,임찬규,A,6 권희동,B,1-0,중견수 뜬공,무사  0:8
2017-05-03,LG,8초,정찬헌,A,6 권희동,B,2-1,유격수 땅볼,무사  0:11
2017-05-04,LG,1초,차우찬,A,5 권희동,B,2-3,좌익수 뜬공,"2사 2,3루 0:0"
2017-05-04,LG,3초,차우찬,A,5 권희동,B,0-1,중견수 안타,2사  0:2
2017-05-04,LG,6초,차우찬,A,5 권희동,B,2-2,3루수 땅볼,무사  0:3
2017-05-04,LG,7초,최동환,A,5 권희동,B,2-3,3루수 땅볼,2사 3루 3:3
2017-05-05,삼성,2말,페트릭,A,6 권희동,B,2-0,유격수 땅볼,2사  0:0
2017-05-05,삼성,4말,페트릭,A,6 권희동,B,1-2,우익수 안타,1사  0:2
2017-05-05,삼성,5말,페트릭,A,6 권희동,B,0-0,유격수 땅볼,2사  0:5
2017-05-05,삼성,7말,권오준,A,6 권희동,B,1-1,1루수 파울 뜬공,2사 1루 1:7
2017-05-06,삼성,7말,백정현,A,2 권희동,B,2-1,2루수 뜬공,무사 1루 12:1
2017-05-06,삼성,9말,김시현,A,2 권희동,B,1-1,유격수 병살타,1사 1루 12:1
2017-05-07,삼성,2말,우규민,A,7 권희동,B,2-2,몸에 맞는 볼,"무사 1,2루 1:1"
2017-05-07,삼성,3말,우규민,A,7 권희동,B,2-1,중견수 뜬공,2사 2루 1:4
2017-05-07,삼성,5말,김승현,A,7 권희동,B,1-3,볼넷,2사  3:6
2017-05-07,삼성,6말,이승현,A,7 권희동,B,2-1,유격수 인필드 뜬공,1사 만루 3:8
2017-05-07,삼성,8말,심창민,A,7 권희동,B,2-2,좌익수 홈런,2사 1루 3:11
2017-05-10,넥센,3말,최원태,A,7 권희동,B,2-2,중견수 안타,무사  0:0
2017-05-10,넥센,5말,최원태,A,7 권희동,B,2-2,권희동/11172 : 삼진 아웃,무사  0:1
2017-05-10,넥센,6말,최원태,A,7 권희동,B,2-1,권희동/11172 : 삼진 아웃,2사  0:3
2017-05-11,넥센,2말,신재영,A,7 권희동,B,0-1,몸에 맞는 볼,2사  0:0
2017-05-11,넥센,5말,신재영,A,7 권희동,B,2-2,유격수 땅볼,무사  1:0
2017-05-11,넥센,7말,신재영,A,7 권희동,B,1-0,중견수 안타,1사 1루 2:1
2017-05-12,kt,7초,홍성용,A,2 권희동,B,2-1,유격수 땅볼,2사  5:1
2017-05-12,kt,9초,배제성,A,2 권희동,B,1-3,볼넷,1사  8:4
2017-05-13,kt,2초,고영표,A,6 권희동,B,2-1,우익수 안타,2사  0:0
2017-05-13,kt,4초,고영표,A,6 권희동,B,2-0,유격수 땅볼,1사  0:2
2017-05-13,kt,7초,고영표,A,6 권희동,B,0-0,좌익수 2루타,무사  1:5
2017-05-13,kt,8초,배우열,A,6 권희동,B,1-2,1루수 땅볼 실책[실책포함],2사 1루 2:5
2017-05-14,kt,2초,정성곤,A,5 권희동,B,1-1,유격수 병살타,무사 1루 0:0
2017-05-14,kt,4초,정성곤,A,5 권희동,B,0-1,좌익수 안타,2사 2루 1:5
2017-05-14,kt,6초,심재민,A,5 권희동,B,1-0,중견수 안타,2사  2:5
2017-05-14,kt,8초,홍성용,A,5 권희동,B,1-1,3루수 땅볼,무사  5:10
2017-05-16,두산,2초,니퍼트,A,5 권희동,B,2-1,좌익수 안타,무사  0:0
2017-05-16,두산,4초,니퍼트,A,5 권희동,B,2-3,좌익수 홈런,무사 1루 0:0
2017-05-16,두산,6초,니퍼트,A,5 권희동,B,1-0,중견수 뜬공,무사  2:0
2017-05-16,두산,8초,김승회,A,5 권희동,B,2-1,중견수 뜬공,1사  2:1
2017-05-17,두산,1초,장원준,A,5 권희동,B,2-1,3루수 땅볼,"2사 1,2루 0:0"
2017-05-17,두산,3초,장원준,A,5 권희동,B,0-2,좌익수 뜬공,"1사 1,2루 1:0"
2017-05-17,두산,6초,김승회,A,5 권희동,B,1-0,좌익수 2루타,무사  1:0
2017-05-17,두산,8초,김강률,A,5 권희동,B,1-3,중견수 안타,1사  2:1
2017-05-18,두산,1초,함덕주,A,5 권희동,B,2-3,볼넷,1사 만루 0:0
2017-05-18,두산,3초,함덕주,A,5 권희동,B,2-2,권희동/11172 : 삼진 아웃,"무사 2,3루 2:6"
2017-05-18,두산,5초,김승회,A,5 권희동,B,2-3,권희동/11172 : 삼진 아웃,무사  3:7
2017-05-18,두산,7초,이현승,A,5 권희동,B,1-0,우익수 뜬공,무사  4:7
2017-05-19,SK,2말,윤희상,A,5 권희동,B,0-1,몸에 맞는 볼,1사  6:0
2017-05-19,SK,4말,윤희상,A,5 권희동,B,2-2,삼진,1사  8:1
2017-05-19,SK,6말,윤희상,A,5 권희동,B,2-1,권희동/11172 : 삼진 아웃,2사 1루 10:1
2017-05-19,SK,9말,허건엽,A,5 권희동,B,0-0,유격수 병살타,무사 1루 11:1
2017-05-20,SK,2말,김태훈,A,6 권희동,B,0-1,포수 번트 파울 뜬공,"무사 1,2루 0:0"
2017-05-20,SK,4말,김태훈,A,6 권희동,B,2-1,3루수 땅볼,무사  0:1
2017-05-20,SK,5말,문광은,A,6 권희동,B,2-1,권희동/11172 : 삼진 아웃,1사 만루 0:1
2017-05-20,SK,8말,김주한,A,6 권희동,B,2-3,우익수 뜬공,1사  0:1
2017-05-21,SK,2말,문승원,A,6 권희동,B,1-2,3루수 땅볼,1사  0:0
2017-05-21,SK,5말,문승원,A,6 권희동,B,2-1,권희동/11172 : 삼진 아웃,무사  3:0
2017-05-21,SK,7말,채병용,A,6 권희동,B,1-3,좌익수 안타,무사 1루 4:0
2017-05-21,SK,8말,박정배,A,6 권희동,B,1-2,1루수 희생번트,무사 1루 4:4
2017-05-21,SK,10말,박희수,A,6 권희동,B,2-2,권희동/11172 : 삼진 아웃,2사  4:4
2017-05-23,넥센,1초,신재영,A,5 권희동,B,2-3,몸에 맞는 볼,1사  3:0
2017-05-23,넥센,3초,하영민,A,5 권희동,B,1-0,좌익수 안타,무사 2루 5:0
2017-05-23,넥센,4초,하영민,A,5 권희동,B,2-3,몸에 맞는 볼,2사  8:0
2017-05-23,넥센,5초,마정길,A,5 권희동,B,2-1,좌익수 희생플라이,"1사 2,3루 11:0"
2017-05-24,넥센,1초,브리검,A,5 권희동,B,2-0,권희동/11172 : 삼진 아웃,1사 2루 2:0
2017-05-24,넥센,3초,브리검,A,5 권희동,B,1-0,2루수 땅볼,1사 1루 3:1
2017-05-24,넥센,5초,브리검,A,5 권희동,B,0-1,몸에 맞는 볼,1사  5:3
2017-05-24,넥센,7초,오주원,A,5 권희동,B,2-3,볼넷,1사  5:3
2017-05-24,넥센,9초,금민철,A,5 권희동,B,0-1,3루수 병살타,1사 1루 5:4
2017-05-25,넥센,1초,조상우,A,5 권희동,B,2-1,중견수 안타,1사 만루 0:0
2017-05-25,넥센,2초,조상우,A,5 권희동,B,0-0,1루수 파울 뜬공,2사  7:0
2017-05-25,넥센,4초,조상우,A,5 권희동,B,2-2,좌익수 안타,2사  8:3
2017-05-25,넥센,7초,황덕균,A,5 권희동,B,2-0,3루수 땅볼,1사  8:3
2017-05-25,넥센,8초,황덕균,A,5 권희동,B,2-1,3루수 땅볼,2사  12:3
2017-05-26,한화,1말,윤규진,A,5 권희동,B,1-3,볼넷,"2사 1,3루 1:0"
2017-05-26,한화,3말,윤규진,A,5 권희동,B,0-0,1루수 땅볼,1사  2:0
2017-05-26,한화,5말,윤규진,A,5 권희동,B,2-3,볼넷,2사  2:0
2017-05-26,한화,7말,송은범,A,5 권희동,B,0-3,볼넷,1사  2:1
2017-05-27,한화,1말,안영명,A,5 권희동,B,1-0,중견수 희생플라이,1사 만루 0:0
2017-05-27,한화,3말,장민재,A,5 권희동,B,1-1,투수 땅볼,2사 2루 0:1
2017-05-27,한화,6말,장민재,A,5 권희동,B,2-3,볼넷,무사  3:1
2017-05-27,한화,8말,권혁,A,5 권희동,B,2-3,1루수 파울 뜬공,1사  4:1
2017-05-28,한화,2말,배영수,A,5 권희동,B,1-1,중견수 뜬공,1사  3:0
2017-05-28,한화,4말,배영수,A,5 권희동,B,2-2,권희동/11172 : 삼진 아웃,1사  4:0
2017-05-28,한화,6말,배영수,A,5 권희동,B,1-0,유격수 땅볼,2사  4:1
2017-05-28,한화,8말,박정진,A,5 권희동,B,2-1,권희동/11172 : 삼진 아웃,"2사 1,2루 8:1"
2017-05-30,KIA,1말,임기영,A,7 권희동,B,2-3,권희동/11172 : 삼진 아웃,2사 만루 1:1
2017-05-30,KIA,4말,임기영,A,7 권희동,B,2-3,좌익수 뜬공,무사  3:3
2017-05-30,KIA,7말,김윤동,A,7 권희동,B,1-3,볼넷,무사  3:3
2017-05-31,KIA,2말,헥터,A,4 권희동,B,2-1,우익수 뜬공,무사  2:0
2017-05-31,KIA,4말,헥터,A,4 권희동,B,2-3,볼넷,1사  5:0
2017-05-31,KIA,6말,헥터,A,4 권희동,B,0-0,포수 파울 뜬공,1사  5:0
2017-05-31,KIA,8말,김윤동,A,4 권희동,B,2-2,권희동/11172 : 삼진 아웃,무사 2루 5:0
2017-06-01,KIA,1말,양현종,A,6 권희동,B,2-3,볼넷,"1사 1,2루 0:2"
2017-06-01,KIA,2말,양현종,A,6 권희동,B,0-2,권희동/11172 : 3루수 직선타 아웃,2사  5:6
2017-06-02,LG,4초,임찬규,A,2 권희동,B,2-2,우익수 안타,2사 만루 1:0
2017-06-02,LG,6초,신정락,A,2 권희동,B,1-1,3루수 병살타,"1사 1,2루 3:1"
2017-06-02,LG,9초,김대현,A,2 권희동,B,1-1,중견수 뜬공,무사  4:1
2017-06-03,LG,2초,차우찬,A,6 권희동,B,2-2,우익수 2루타,"무사 1,2루 0:0"
2017-06-03,LG,4초,차우찬,A,6 권희동,B,2-2,2루수 땅볼,무사  2:2
2017-06-03,LG,6초,차우찬,A,6 권희동,B,1-0,우익수 2루타,2사  2:2
2017-06-03,LG,8초,김지용,A,6 권희동,B,0-0,1루수 희생번트,무사 1루 3:2
2017-06-04,LG,1초,류제국,A,6 권희동,B,1-0,유격수 땅볼,2사 만루 0:0
2017-06-04,LG,3초,류제국,A,6 권희동,B,2-1,권희동/11172 : 삼진 아웃,1사 1루 0:1
2017-06-04,LG,4초,정찬헌,A,6 권희동,B,2-2,권희동/11172 : 삼진 아웃,2사 3루 4:1
2017-06-04,LG,7초,이동현,A,6 권희동,B,2-1,권희동/11172 : 삼진 아웃,1사  4:5
2017-06-04,LG,9초,김지용,A,6 권희동,B,2-3,볼넷,무사 3루 5:5
2017-06-06,롯데,2말,박세웅,A,7 권희동,B,2-2,권희동/11172 : 삼진 아웃,2사  1:1
2017-06-06,롯데,5말,박세웅,A,7 권희동,B,2-3,볼넷,무사  2:1
2017-06-07,롯데,1말,레일리,A,6 권희동,B,0-0,좌익수 홈런,2사 만루 0:0
2017-06-07,롯데,3말,레일리,A,6 권희동,B,1-3,볼넷,2사  1:5
2017-06-07,롯데,5말,배장호,A,6 권희동,B,1-1,2루수 땅볼,1사  2:6
2017-06-07,롯데,6말,김유영,A,6 권희동,B,2-2,1루수 파울 뜬공,1사  4:10
2017-06-07,롯데,8말,이명우,A,6 권희동,B,2-2,좌익수 안타,1사 1루 4:10
2017-06-08,롯데,1말,애디튼,A,6 권희동,B,2-3,좌익수 안타,1사 1루 0:3
2017-06-08,롯데,3말,애디튼,A,6 권희동,B,2-2,좌익수 홈런,무사  0:6
2017-06-08,롯데,4말,애디튼,A,6 권희동,B,1-3,3루수 땅볼,1사 2루 0:8
2017-06-08,롯데,6말,노경은,A,6 권희동,B,1-0,좌익수 2루타,"무사 1,2루 0:10"
2017-06-09,kt,2말,피어밴드,A,6 권희동,B,0-0,우익수 안타,2사  1:0
2017-06-09,kt,4말,피어밴드,A,6 권희동,B,2-1,2루수 뜬공,무사  2:2
2017-06-09,kt,6말,피어밴드,A,6 권희동,B,0-2,3루수 땅볼,무사 2루 3:2
2017-06-09,kt,8말,심재민,A,6 권희동,B,2-0,중견수 뜬공,무사  5:4
2017-06-09,kt,9말,김재윤,A,6 권희동,B,0-0,3루수 뜬공,2사 1루 5:5
2017-06-10,kt,2말,주권,A,6 권희동,B,0-0,중견수 2루타,2사  1:0
2017-06-10,kt,5말,주권,A,6 권희동,B,2-2,중견수 2루타,무사  1:0
2017-06-10,kt,6말,엄상백,A,6 권희동,B,0-3,볼넷,"2사 1,2루 1:1"
2017-06-10,kt,7말,강장산,A,6 권희동,B,1-0,좌익수 뜬공,"2사 1,3루 1:4"
2017-06-11,kt,2말,정성곤,A,6 권희동,B,0-0,좌익수 2루타,무사  0:2
2017-06-11,kt,4말,정성곤,A,6 권희동,B,2-0,권희동/11172 : 삼진 아웃,무사  0:3
2017-06-11,kt,6말,배제성,A,6 권희동,B,2-1,우익수 뜬공,1사  0:5
2017-06-13,넥센,1초,한현희,A,6 권희동,B,2-2,유격수 땅볼,1사 1루 3:0
2017-06-13,넥센,3초,오윤성,A,6 권희동,B,2-3,우익수 안타,"1사 1,2루 4:5"
2017-06-13,넥센,4초,오윤성,A,6 권희동,B,0-0,3루수 땅볼,무사  11:5
2017-06-13,넥센,6초,금민철,A,6 권희동,B,0-0,유격수 땅볼,1사 2루 11:5
2017-06-13,넥센,7초,금민철,A,6 권희동,B,2-3,권희동/11172 : 삼진 아웃,"2사 2,3루 13:5"
2017-06-14,넥센,2초,최원태,A,6 권희동,B,2-0,좌익수 뜬공,무사 1루 0:0
2017-06-14,넥센,4초,최원태,A,6 권희동,B,2-2,우익수 뜬공,2사 2루 0:0
2017-06-14,넥센,6초,최원태,A,6 권희동,B,0-0,중견수 홈런,무사  2:4
2017-06-14,넥센,8초,오주원,A,6 권희동,B,2-3,우익수 안타,무사  3:8
2017-06-14,넥센,9초,김상수,A,6 권희동,B,2-1,좌익수 뜬공,1사 1루 4:8
2017-06-15,넥센,2초,신재영,A,6 권희동,B,1-2,좌익수 안타,무사 2루 0:0
2017-06-15,넥센,4초,김세현,A,6 권희동,B,2-0,우익수 뜬공,무사  1:0
2017-06-15,넥센,4초,윤영삼,A,6 권희동,B,2-3,유격수 안타,"2사 1,2루 6:0"
2017-06-15,넥센,7초,윤영삼,A,6 권희동,B,2-0,삼진,무사  7:5
2017-06-15,넥센,9초,하영민,A,6 권희동,B,2-0,권희동/11172 : 1루수 직선타 아웃,1사  7:7
2017-06-16,두산,2초,이영하,A,6 권희동,B,2-1,권희동/11172 : 삼진 아웃,1사  1:0
2017-06-16,두산,4초,이영하,A,6 권희동,B,2-3,볼넷,"1사 1,2루 1:0"
2017-06-16,두산,6초,김강률,A,6 권희동,B,2-0,권희동/11172 : 삼진 아웃,무사  6:2
2017-06-16,두산,7초,임진우,A,6 권희동,B,2-2,권희동/11172 : 삼진 아웃,무사 만루 8:2
2017-06-17,두산,1초,장원준,A,2 권희동,B,2-3,좌익수 안타,1사  0:0
2017-06-17,두산,3초,장원준,A,2 권희동,B,2-1,권희동/11172 : 삼진 아웃,1사 1루 1:7
2017-06-17,두산,5초,장원준,A,2 권희동,B,2-3,권희동/11172 : 투수 직선타 아웃,1사  2:10
2017-06-18,두산,1초,유희관,A,6 권희동,B,0-0,우익수 뜬공,2사 1루 2:0
2017-06-18,두산,4초,유희관,A,6 권희동,B,0-0,좌익수 안타,무사  3:0
2017-06-18,두산,5초,유희관,A,6 권희동,B,1-0,좌익수 뜬공,무사  8:4
2017-06-18,두산,6초,김강률,A,6 권희동,B,0-0,우익수 안타,"2사 1,2루 8:6"
2017-06-18,두산,8초,이용찬,A,6 권희동,B,2-1,권희동/11172 : 삼진 아웃,2사  11:13
2017-06-20,SK,2초,문승원,A,6 권희동,B,2-2,3루수 땅볼,1사  0:1
2017-06-20,SK,4초,문승원,A,6 권희동,B,2-2,권희동/11172 : 삼진 아웃,2사 1루 0:6
2017-06-20,SK,7초,문승원,A,6 권희동,B,1-1,3루수 땅볼,1사  0:7
2017-06-21,SK,2초,박종훈,A,6 권희동,B,1-1,투수 땅볼,1사  0:0
2017-06-21,SK,4초,박종훈,A,6 권희동,B,2-2,2루수 뜬공,1사  1:0
2017-06-21,SK,6초,박정배,A,6 권희동,B,0-1,유격수 땅볼,무사  1:0
2017-06-21,SK,8초,김태훈,A,6 권희동,B,2-1,삼진,1사  2:0
2017-06-23,KIA,2말,팻딘,A,6 권희동,B,2-3,볼넷,2사  0:0
2017-06-23,KIA,4말,팻딘,A,6 권희동,B,1-1,1루수 번트안타,1사 3루 0:2
2017-06-24,KIA,2말,정용운,A,5 권희동,B,0-1,중견수 뜬공,무사 1루 0:0
2017-06-24,KIA,4말,정용운,A,5 권희동,B,2-2,유격수 땅볼,1사  1:0
2017-06-24,KIA,6말,정용운,A,5 권희동,B,1-3,볼넷,무사  1:2
2017-06-25,KIA,2말,임기준,A,5 권희동,B,1-3,3루수 땅볼,무사 1루 2:0
